"","Estimate","Std. Error","z value","Pr(>|z|)"
"age_gp50-54",0.289045778278935,0.0777409515808211,3.71806329098554,0.000200755979232568
"age_gp55-59",0.491880197126013,0.0711133313067529,6.91684931766519,4.61798818350175e-12
"age_gp60-64",0.571841011848927,0.0757731902754128,7.54674588426931,4.46268122385068e-14
"age_gp65-69",0.915416158599095,0.0725679067690749,12.6146143571721,1.75414202408663e-36
"age_gp70-74",1.07131137378335,0.0698293518296202,15.3418490321561,4.01591014683275e-53
"age_gp75-79",1.31616158236619,0.0706919512687772,18.6182664185068,2.28492021142471e-77
"age_gp80+",1.8630413257543,0.0600862369811612,31.0061241867821,4.45743062084713e-211
"n_risk_gps1",0.587735482090306,0.045967768206736,12.7858172153805,1.96783392098214e-37
"n_risk_gps2",1.01726228695836,0.0517775773821413,19.6467725681818,6.16077917589708e-86
"n_risk_gps3",1.45219568165837,0.0579337845767451,25.0664736002987,1.15463655236961e-138
"n_risk_gps4",1.44964867405862,0.0705836476304749,20.5380243544217,9.84880707762013e-94
"n_risk_gps5+",1.6024940675102,0.0746700556866769,21.4610000323882,3.60466940298451e-102
"bmi_gp<18.5",0.654670899214078,0.0978312078346821,6.69184111802401,2.203800718647e-11
"bmi_gp25-29.9",-0.155722983001,0.0436044884528679,-3.57126040291292,0.000355267456942282
"bmi_gp30-34.9",-0.171332510765431,0.0560033268694878,-3.0593273711169,0.00221834594097256
"bmi_gp35-39.9",-0.0181212417466393,0.0731274417039937,-0.247803578579854,0.804286385969263
"bmi_gp40+",0.214388533558608,0.0865177512683042,2.47797163490482,0.0132131649157427
"simd2020_sc_quintile1 - High",0.517512652023785,0.0533624863081114,9.69806108800294,3.07282315285462e-22
"simd2020_sc_quintile2",0.408229419048292,0.0540924297225711,7.54688634143478,4.45787298648048e-14
"simd2020_sc_quintile3",0.232051986847217,0.0567799614930546,4.08686411095228,4.37243043449482e-05
"simd2020_sc_quintile4",0.109289406036646,0.0582976915097618,1.8746781082806,0.0608370203612156
"pos_before_start_upos_0:2_months",-1.03662595819555,0.139654284609826,-7.42280096233164,1.1466903549983e-13
"pos_before_start_upos_3:5_months",-1.07737951817646,0.334526836062053,-3.22060714428485,0.00127919366535681
"pos_before_start_upos_6:8_months",-1.36978219212274,0.175581043240778,-7.80142415627596,6.12123919424384e-15
"pos_before_start_upos_9+_months",-1.12350196800309,0.159740423600279,-7.03329778825704,2.01708225487765e-12
"vacc_gap7-8 wk",-0.234219610174895,0.0898449920176622,-2.6069300571461,0.00913580194908401
"vacc_gap9-10 wk",-0.210684377254872,0.0861885775775922,-2.44445822377334,0.0145069880848184
"vacc_gap11-12 wk",-0.130894246043738,0.0888614666877872,-1.47301469267474,0.140747074042635
"vacc_gap13+ wk",-0.0636504156794344,0.108048817215893,-0.589089425682967,0.555801286497193
"n_tests_gp1",0.451598241728754,0.0464269560833334,9.7270697850224,2.31155706129473e-22
"n_tests_gp10+",1.53781576944657,0.0573129716923537,26.8318972832417,1.37207180063896e-158
"n_tests_gp2",0.735796004347611,0.0551732397493897,13.3361029312358,1.42728076445501e-40
"n_tests_gp3-4",1.26368875759101,0.0512622026168491,24.6514720999456,3.54875662557323e-134
"n_tests_gp5-9",1.57845561990359,0.05420739285006,29.1188256234656,2.07398584943932e-186
"ur_combined1",0.249470115293817,0.0455581720627766,5.47585875372833,4.35394889073203e-08
